scenario_id,state,map,portal_area,label,frame_anchor,frame_scope,source_surfaces,static_active_surfaces,static_retained_surfaces,static_retained_vertices,static_retained_indexes,static_retained_triangles,frame_vertices,frame_indexes,rigid_instances,rigid_unique_meshes,rigid_vertices,rigid_indexes,rigid_triangles,skinned_surfaces,skinned_vertices,skinned_indexes,skinned_triangles,transient_surfaces,transient_vertices,transient_indexes,transient_triangles,tlas_instances,tlas_capacity,cap_limit_rejects,static_bucket_overflow,invalid_normals,invalid_uvs,missing_rigid_route,material_bound,material_total,static_fallback_triangles,dynamic_upload_bytes,rigid_route_upload_bytes,entity_feed_visited,entity_feed_resident,timing_samples,total_median_ms,capture_median_ms,cpu_skin_median_ms,raster_status,pt_geometry_status,known_issue,source_log_label
STATIC_BUSY,baseline,maps/game/mars_city1.map,7,STATIC_BUSY,2957,mixed_one_shot,615,589,756,32555,81564,27188,34297,102948,111,89,4959,14850,4950,21,7347,35238,11746,5,24,36,12,113,512,0,0,0,0,0,442,449,176,1107744,15984,NA,NA,27,24,14,2,pass,pass,none,GEOM_CAPTURE_A_LARGE_STATIC
SKINNED_CROWD_CPU,baseline,maps/game/mc_underground.map,22,SKINNED_CROWD_CPU,15237,mixed_one_shot,484,439,508,23572,61818,20606,39780,147513,98,74,3088,9066,3022,45,19667,93738,31246,0,0,0,0,100,512,0,0,0,0,0,219,226,0,2952608,14112,341,341,6,30,20,9,pass,pass,Fatzombie_and_six_other_character_materials_rejected_texture_desc,GEOM_CAPTURE_B_SKIN_CPU
COMM1_AREA41_BROKEN_PT,broken,maps/game/comm1.map,41,COMM1_AREA41_BROKEN_PT,31501,mixed_one_shot,611,609,731,44520,111588,37196,30564,75303,62,51,12629,26421,8807,2,1557,6843,2281,0,0,0,0,64,512,0,0,0,0,0,312,314,185,229128,8928,186,186,NA,NA,NA,NA,pass,fail,PT_missing_level_parts_while_raster_and_collision_remain_functional,GEOM_BROKEN_LEVEL
LIFECYCLE_MEDKIT,visible,maps/game/mc_underground.map,25,LIFECYCLE_MEDKIT,41335,mixed_one_shot,563,558,NA,NA,NA,NA,NA,NA,164,135,7383,23175,7725,4,NA,NA,NA,7,NA,NA,NA,NA,512,NA,NA,NA,NA,0,NA,NA,NA,NA,1005012,381,381,NA,NA,NA,NA,pass,pass,probe_present_as_two_rigid_records,GEOM_CAPTURE_D_VISIBLE
LIFECYCLE_MEDKIT,offscreen,maps/game/mc_underground.map,43,LIFECYCLE_MEDKIT,42440,mixed_one_shot,NA,NA,NA,NA,NA,NA,NA,NA,235,172,9184,22329,7443,NA,NA,NA,NA,NA,NA,NA,NA,NA,512,NA,NA,NA,NA,0,NA,NA,NA,NA,1211308,NA,NA,NA,NA,NA,NA,pass,pass,portal_content_changed_probe_expected_resident,GEOM_CAPTURE_D_AWAY
LIFECYCLE_MEDKIT,returned,maps/game/mc_underground.map,25,LIFECYCLE_MEDKIT,43440,mixed_one_shot,563,558,NA,NA,NA,NA,NA,NA,164,135,7383,23175,7725,4,NA,NA,NA,7,NA,NA,NA,NA,512,NA,NA,NA,NA,0,NA,NA,NA,NA,1005012,381,381,NA,NA,NA,NA,pass,pass,exact_visible_tuple_restored,GEOM_CAPTURE_D_return
LIFECYCLE_MEDKIT,pda_return,maps/game/mc_underground.map,25,LIFECYCLE_MEDKIT,44257,mixed_one_shot,563,558,NA,NA,NA,NA,NA,NA,164,135,7383,23175,7725,4,NA,NA,NA,7,NA,NA,NA,NA,512,NA,NA,NA,NA,0,NA,NA,NA,NA,1005012,381,381,NA,NA,NA,NA,pass,pass,one_381_record_invalidate_rederive_then_exact_tuple_restored,GEOM_CAPTURE_D_PDA_RETURN
LIFECYCLE_MEDKIT,removed,maps/game/mc_underground.map,25,LIFECYCLE_MEDKIT,44828,mixed_one_shot,563,558,NA,NA,NA,NA,NA,NA,162,133,7263,22623,7541,4,NA,NA,NA,7,NA,NA,NA,NA,512,NA,NA,NA,NA,0,NA,NA,NA,NA,987604,379,379,NA,NA,NA,NA,pass,pass,exact_delta_2_records_120_vertices_552_indexes_184_triangles,GEOM_CAPTURE_D_REMOVED
